Date,Price,Open,Vol.
6/17/2022,1840.6,1859.3,141.72
6/16/2022,1849.9,1835.8,180.89
6/15/2022,1819.6,1809.7,203.42
6/14/2022,1813.5,1820.9,165.15
6/13/2022,1831.8,1879,252.54
6/10/2022,1875.5,1850.4,267.2
6/9/2022,1852.8,1855.1,131.29
6/8/2022,1856.5,1855,114.14
6/7/2022,1852.1,1843.5,119.21
6/6/2022,1843.7,1853.7,103.18
6/3/2022,1850.2,1872.6,115.34
6/2/2022,1871.4,1849.9,127.47
6/1/2022,1848.7,1840,158.04
5/31/2022,1848.4,1856.5,201.8
5/30/2022,1848.4,1856.5,201.8
5/27/2022,1857.3,1855.1,123.76
5/26/2022,1850.6,1854.5,1.12
5/25/2022,1849.2,1867.6,0.65
5/24/2022,1868.4,1855.4,1.15
5/23/2022,1850.6,1847.4,0.84
5/20/2022,1844.7,1842.7,0.15
5/19/2022,1844,1818.3,0.47
5/18/2022,1819,1816.2,0.2
5/17/2022,1821.9,1827.2,0.17
5/16/2022,1816.8,1815,0.22
5/13/2022,1811.3,1821,0.09
5/12/2022,1827.9,1857.9,0.08
5/11/2022,1857.1,1841.5,0.1
5/10/2022,1844.4,1861.9,0.08
5/9/2022,1862,1883.6,0.01
5/6/2022,1886.2,1873.1,0.01
5/5/2022,1879,1898.4,0.05
5/4/2022,1872.1,1871.9,0.09
5/3/2022,1873.9,1868.7,0.16
5/2/2022,1867,1894.5,0.02
4/29/2022,1915.1,1909.2,0.01
4/28/2022,1894.8,1894.8,170.91
4/27/2022,1888.7,1907.4,178.2
4/26/2022,1904.1,1899.8,166.2
4/25/2022,1896,1931.9,231.49
4/22/2022,1934.3,1953.1,176.68
4/21/2022,1948.2,1960,154.92
4/20/2022,1955.6,1952.7,139.51
4/19/2022,1959,1981.2,181.44
4/18/2022,1986.4,1978.5,138.13
4/14/2022,1974.9,1981.6,139.42
4/13/2022,1984.7,1970.5,132.03
4/12/2022,1976.1,1957.4,172.39
4/11/2022,1948.2,1949.6,184.39
4/8/2022,1945.6,1934.3,142.5
4/7/2022,1937.8,1928.1,122.81
4/6/2022,1923.1,1927.6,153.97
